cell_state	gene_symbol	ensembl_gene_id	source
proliferative	MKI67	ENSG00000148773	https://doi.org/10.1101/2024.01.18.576251;https://doi.org/10.1158/1078-0432.CCR-23-1111
proliferative	PCNA	ENSG00000132646	https://doi.org/10.1101/2024.01.18.576251
EWS-low	NT5E	ENSG00000135318	https://doi.org/10.1158/1078-0432.CCR-23-1111
EWS-low	IGFBP3	ENSG00000146674	https://doi.org/10.1016/j.celrep.2020.01.049
EWS-low	IL8	ENSG00000169429	https://doi.org/10.1016/j.celrep.2020.01.049
EWS-low	LOX	ENSG00000113083	https://doi.org/10.1016/j.celrep.2020.01.049
EWS-low	VIM	ENSG00000026025	https://doi.org/10.1016/j.celrep.2020.01.049
EWS-low	TNC	ENSG00000041982	https://doi.org/10.1158/1078-0432.CCR-23-1111
EWS-low	COL1A1	ENSG00000108821	https://doi.org/10.1158/1078-0432.CCR-23-1111
EWS-low	BGN	ENSG00000182492	https://doi.org/10.1158/1078-0432.CCR-23-1111
EWS-low	S100A10	ENSG00000197747	https://doi.org/10.1158/1078-0432.CCR-23-1111
EWS-low	SPARC	ENSG00000113140	https://doi.org/10.1158/1078-0432.CCR-23-1111
EWS-low	COL1A2	ENSG00000164692	https://doi.org/10.1158/1078-0432.CCR-23-1111
EWS-low	CD44	ENSG00000026508	https://doi.org/10.1101/2024.01.18.576251
EWS-high	PRKCB	ENSG00000166501	https://doi.org/10.1016/j.celrep.2020.01.049
EWS-high	LIPI	ENSG00000188992	https://doi.org/10.1016/j.celrep.2020.01.049
EWS-high	CCND1	ENSG00000110092	https://doi.org/10.1016/j.celrep.2020.01.049
EWS-high	NR0B1	ENSG00000169297	https://doi.org/10.1016/j.celrep.2020.01.049
